,to_club_name,transfer_sum,transfer_mean
31,Watford,222250000.0,9260416.666666666
5,Burnley,255700000.0,6910810.810810811
10,Fulham,264170000.0,9784074.074074075
26,Southampton,292890000.0,10460357.142857144
8,Crystal Palace,326820000.0,10894000.0
22,Nottm Forest,351375000.0,9246710.52631579
4,Brighton,395000000.0,10675675.675675675
14,Leicester,408660000.0,16346400.0
2,Bournemouth,422330000.0,12421470.588235294
35,Wolves,573346000.0,13651095.238095239
1,Aston Villa,648990000.0,15829024.390243903
9,Everton,658470000.0,17328157.89473684
20,Newcastle,746110000.0,18197804.87804878
33,West Ham,767750000.0,18725609.756097563
15,Liverpool,1070430000.0,24893720.93023256
30,Tottenham,1097880000.0,22872500.0
0,Arsenal,1236380000.0,27475111.111111112
18,Man Utd,1696070000.0,40382619.047619045
17,Man City,1819420000.0,31919649.12280702
7,Chelsea,2162500000.0,34325396.82539683
